"SEC","Sector","TRANS","Transaction","MEAS","Measure","COU","Country","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"NA","National aggregates","GDP","GDP","PER_CAP","Per capita","SWE","Sweden","2016","2016","USD","US Dollar","0","Units",,,48904.55,,
"NA","National aggregates","SURF","Area","VALUE","Value","TUR","Turkey","2016","2016","KM2","Square kilometres","0","Units",,,769604,,
"NA","National aggregates","POP","Population","VALUE","Value","TUR","Turkey","2016","2016","HAB","Inhabitants","3","Thousands",,,78247.1,,
"NA","National aggregates","GDP","GDP","VALUE","Value","TUR","Turkey","2016","2016","USD","US Dollar","9","Billions",,,2007.47,,
"NA","National aggregates","GDP_GRWH","GDP year on year growth","VALUE","Value","TUR","Turkey","2016","2016","GRWH","Growth rate","0","Units",,,3.18,,
"NA","National aggregates","GDP","GDP","PER_CAP","Per capita","TUR","Turkey","2016","2016","USD","US Dollar","0","Units",,,25655.47,,
"NA","National aggregates","SURF","Area","VALUE","Value","GBR","United Kingdom","2016","2016","KM2","Square kilometres","0","Units",,,242513,,
"NA","National aggregates","POP","Population","VALUE","Value","GBR","United Kingdom","2016","2016","HAB","Inhabitants","3","Thousands",,,65648,,
"NA","National aggregates","GDP","GDP","VALUE","Value","GBR","United Kingdom","2016","2016","USD","US Dollar","9","Billions",,,2798.06,,
"NA","National aggregates","GDP_GRWH","GDP year on year growth","VALUE","Value","GBR","United Kingdom","2016","2016","GRWH","Growth rate","0","Units",,,1.94,,
"NA","National aggregates","GDP","GDP","PER_CAP","Per capita","GBR","United Kingdom","2016","2016","USD","US Dollar","0","Units",,,42622.17,,
"NA","National aggregates","SURF","Area","VALUE","Value","EU28","EU28-Total","2016","2016","KM2","Square kilometres","0","Units",,,4364512,,
"NA","National aggregates","POP","Population","VALUE","Value","EU28","EU28-Total","2016","2016","HAB","Inhabitants","3","Thousands",,,511324.36,,
"NA","National aggregates","GDP","GDP","VALUE","Value","EU28","EU28-Total","2016","2016","USD","US Dollar","9","Billions",,,20256.06,,
"NA","National aggregates","GDP_GRWH","GDP year on year growth","VALUE","Value","EU28","EU28-Total","2016","2016","GRWH","Growth rate","0","Units",,,1.96,,
"NA","National aggregates","GDP","GDP","PER_CAP","Per capita","EU28","EU28-Total","2016","2016","USD","US Dollar","0","Units",,,39614.9,,
"NA","National aggregates","SURF","Area","VALUE","Value","OECD9","OECD 9 federations & quasi-fed. countries","2016","2016","KM2","Square kilometres","0","Units",,,28932846,,
"NA","National aggregates","POP","Population","VALUE","Value","OECD9","OECD 9 federations & quasi-fed. countries","2016","2016","HAB","Inhabitants","3","Thousands",,,663652.75,,
"NA","National aggregates","GDP","GDP","VALUE","Value","OECD9","OECD 9 federations & quasi-fed. countries","2016","2016","USD","US Dollar","9","Billions",,,30846.98,,
"NA","National aggregates","GDP_GRWH","GDP year on year growth","VALUE","Value","OECD9","OECD 9 federations & quasi-fed. countries","2016","2016","GRWH","Growth rate","0","Units",,,2.92,,
"NA","National aggregates","SURF","Area","VALUE","Value","LVA","Latvia","2016","2016","KM2","Square kilometres","0","Units",,,62210,,
"NA","National aggregates","POP","Population","VALUE","Value","LVA","Latvia","2016","2016","HAB","Inhabitants","3","Thousands",,,1960.68,,
"NA","National aggregates","GDP","GDP","VALUE","Value","LVA","Latvia","2016","2016","USD","US Dollar","9","Billions",,,50.14,,
"NA","National aggregates","GDP_GRWH","GDP year on year growth","VALUE","Value","LVA","Latvia","2016","2016","GRWH","Growth rate","0","Units",,,2.08,,
"NA","National aggregates","SURF","Area","VALUE","Value","OECD26","OECD 26 unitary countries","2016","2016","KM2","Square kilometres","0","Units",,,5592450,,
"NA","National aggregates","POP","Population","VALUE","Value","OECD26","OECD 26 unitary countries","2016","2016","HAB","Inhabitants","3","Thousands",,,620673.15,,
"NA","National aggregates","GDP","GDP","VALUE","Value","OECD26","OECD 26 unitary countries","2016","2016","USD","US Dollar","9","Billions",,,23228.47,,
"NA","National aggregates","GDP_GRWH","GDP year on year growth","VALUE","Value","OECD26","OECD 26 unitary countries","2016","2016","GRWH","Growth rate","0","Units",,,3.39,,
"NA","National aggregates","SURF","Area","VALUE","Value","OECD35","OECD-Total","2016","2016","KM2","Square kilometres","0","Units",,,34525296,,
"NA","National aggregates","POP","Population","VALUE","Value","OECD35","OECD-Total","2016","2016","HAB","Inhabitants","3","Thousands",,,1284325.9,,
"NA","National aggregates","GDP","GDP","VALUE","Value","OECD35","OECD-Total","2016","2016","USD","US Dollar","9","Billions",,,54075.46,,
"NA","National aggregates","GDP_GRWH","GDP year on year growth","VALUE","Value","OECD35","OECD-Total","2016","2016","GRWH","Growth rate","0","Units",,,1.78,,
"NA","National aggregates","GDP","GDP","PER_CAP","Per capita","OECD9","OECD 9 federations & quasi-fed. countries","2016","2016","USD","US Dollar","0","Units",,,46480.61,,
"NA","National aggregates","GDP","GDP","PER_CAP","Per capita","LVA","Latvia","2016","2016","USD","US Dollar","0","Units",,,25572.56,,
"NA","National aggregates","GDP","GDP","PER_CAP","Per capita","OECD26","OECD 26 unitary countries","2016","2016","USD","US Dollar","0","Units",,,37424.65,,
"NA","National aggregates","GDP","GDP","PER_CAP","Per capita","OECD35","OECD-Total","2016","2016","USD","US Dollar","0","Units",,,42104.24,,
